1 , Program, Block, ProcedureDeclaration, VarDeclaration, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
124 , Block, ProcedureDeclaration, ProcedureDeclaration, TermExpression, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
125 , Program, ProcedureDeclaration, ProcedureDeclaration, Term, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
126 , Program, ProcedureDeclaration, ProcedureDeclaration, Term, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
127 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Term, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
128 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Term, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
129 , Block, ProcedureDeclaration, ProcedureDeclaration, Term, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
130 , Block, ProcedureDeclaration, ProcedureDeclaration, Term, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
131 , Program, ProcedureDeclaration, ProcedureDeclaration, OptionalTerm, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
132 , Program, ProcedureDeclaration, ProcedureDeclaration, OptionalTerm, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
133 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, OptionalTerm, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
134 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, OptionalTerm, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
135 , Block, ProcedureDeclaration, ProcedureDeclaration, OptionalTerm, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
136 , Block, ProcedureDeclaration, ProcedureDeclaration, OptionalTerm, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
137 , Program, ProcedureDeclaration, ProcedureDeclaration, Factor, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
138 , Program, ProcedureDeclaration, ProcedureDeclaration, Factor, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
139 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Factor, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
140 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Factor, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
141 , Block, ProcedureDeclaration, ProcedureDeclaration, Factor, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
142 , Block, ProcedureDeclaration, ProcedureDeclaration, Factor, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
143 , Program, ProcedureDeclaration, ProcedureDeclaration, OptionalFactor, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
144 , Program, ProcedureDeclaration, ProcedureDeclaration, OptionalFactor, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
145 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, OptionalFactor, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
146 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, OptionalFactor, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
147 , Block, ProcedureDeclaration, ProcedureDeclaration, OptionalFactor, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
148 , Block, ProcedureDeclaration, ProcedureDeclaration, OptionalFactor, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
149 , Program, ProcedureDeclaration, ProcedureDeclaration, IdentReference, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
150 , Program, ProcedureDeclaration, ProcedureDeclaration, IdentReference, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
151 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, IdentReference, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
152 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, IdentReference, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
153 , Block, ProcedureDeclaration, ProcedureDeclaration, IdentReference, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
154 , Block, ProcedureDeclaration, ProcedureDeclaration, IdentReference, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
155 , Program, ProcedureDeclaration, ProcedureDeclaration, Number, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
156 , Program, ProcedureDeclaration, ProcedureDeclaration, Number, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
157 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Number, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
158 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Number, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
159 , Block, ProcedureDeclaration, ProcedureDeclaration, Number, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
160 , Block, ProcedureDeclaration, ProcedureDeclaration, Number, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
161 , Program, ProcedureDeclaration, ProcedureDeclaration, ExpressionFactor, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
162 , Program, ProcedureDeclaration, ProcedureDeclaration, ExpressionFactor, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
163 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, ExpressionFactor, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
164 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, ExpressionFactor, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
165 , Block, ProcedureDeclaration, ProcedureDeclaration, ExpressionFactor, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
166 , Block, ProcedureDeclaration, ProcedureDeclaration, ExpressionFactor, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
167 , Program, Body, ProcedureDeclaration, Statement, CallStatement, Path: Program-block-Block: Block-body-Body, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Body-statements-Statement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Body-statements-CallStatement
168 , BlockOwner, Body, ProcedureDeclaration, Statement, CallStatement, Path: BlockOwner-block-Block: Block-body-Body, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Body-statements-Statement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Body-statements-CallStatement
169 , Block, Body, ProcedureDeclaration, Statement, CallStatement, Path: Block-body-Body, Path: Block-procedures-ProcedureDeclaration, Path: Body-statements-Statement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Body-statements-CallStatement
170 , Program, Body, ProcedureDeclaration, CallStatement, CallStatement, Path: Program-block-Block: Block-body-Body, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Body-statements-CallStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Body-statements-CallStatement
171 , BlockOwner, Body, ProcedureDeclaration, CallStatement, CallStatement, Path: BlockOwner-block-Block: Block-body-Body, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Body-statements-CallStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Body-statements-CallStatement
172 , Block, Body, ProcedureDeclaration, CallStatement, CallStatement, Path: Block-body-Body, Path: Block-procedures-ProcedureDeclaration, Path: Body-statements-CallStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Body-statements-CallStatement
